Lot,Start,Finish,Line,Materials,TypeIdx
Lot_82,2025-09-14 12:00:00,2025-09-14 12:30:00,Line_5,11 & 17,29
Lot_81,2025-09-14 16:30:00,2025-09-14 17:00:00,Line_5,11 & 17,29
Lot_80,2025-09-14 08:20:00,2025-09-14 08:50:00,Line_6,0 & 19,27
Lot_30,2025-09-14 09:30:00,2025-09-14 10:00:00,Line_6,10 & 28,10
Lot_79,2025-09-14 10:20:00,2025-09-14 10:50:00,Line_6,0 & 12,31
Lot_78,2025-09-14 11:30:00,2025-09-14 12:00:00,Line_6,6 & 18,30
Lot_39,2025-09-14 13:00:00,2025-09-14 13:30:00,Line_6,3 & 21,18
Lot_6,2025-09-14 14:20:00,2025-09-14 14:50:00,Line_6,9 & 23,3
Lot_21,2025-09-14 15:00:00,2025-09-14 15:30:00,Line_6,5 & 20,11
Lot_77,2025-09-14 16:10:00,2025-09-14 16:40:00,Line_6,11 & 17,29
Lot_76,2025-09-14 08:10:00,2025-09-14 08:40:00,Line_7,3 & 21,18
Lot_75,2025-09-14 09:30:00,2025-09-14 10:00:00,Line_7,1 & 6,8
Lot_1,2025-09-14 10:20:00,2025-09-14 10:50:00,Line_7,14 & 27,1
Lot_74,2025-09-14 11:00:00,2025-09-14 11:30:00,Line_7,7 & 8,22
Lot_69,2025-09-14 11:30:00,2025-09-14 12:00:00,Line_7,7 & 8,22
Lot_95,2025-09-14 12:10:00,2025-09-14 12:40:00,Line_7,4 & 28,20
Lot_73,2025-09-14 13:00:00,2025-09-14 13:30:00,Line_7,0 & 19,27
Lot_72,2025-09-14 13:40:00,2025-09-14 14:10:00,Line_7,11 & 17,29
Lot_14,2025-09-14 15:30:00,2025-09-14 16:00:00,Line_7,25 & 26,5
Lot_71,2025-09-14 16:10:00,2025-09-14 16:40:00,Line_7,7 & 8,22
Lot_70,2025-09-14 08:10:00,2025-09-14 08:40:00,Line_8,4 & 8,28
Lot_54,2025-09-14 08:50:00,2025-09-14 09:20:00,Line_8,1 & 24,23
Lot_41,2025-09-14 09:30:00,2025-09-14 10:00:00,Line_8,5 & 10,15
Lot_17,2025-09-14 10:30:00,2025-09-14 11:00:00,Line_8,5 & 20,11
Lot_67,2025-09-14 12:20:00,2025-09-14 12:50:00,Line_8,1 & 6,8
Lot_66,2025-09-14 13:20:00,2025-09-14 13:50:00,Line_8,4 & 28,20
Lot_65,2025-09-14 14:00:00,2025-09-14 14:30:00,Line_8,9 & 18,16
Lot_52,2025-09-14 15:00:00,2025-09-14 15:30:00,Line_8,7 & 8,22
Lot_63,2025-09-14 16:10:00,2025-09-14 16:40:00,Line_8,0 & 19,27
Lot_62,2025-09-14 08:00:00,2025-09-14 08:30:00,Line_9,9 & 18,16
Lot_35,2025-09-14 09:30:00,2025-09-14 10:00:00,Line_9,12 & 19,6
Lot_36,2025-09-14 10:10:00,2025-09-14 10:40:00,Line_9,5 & 10,15
Lot_31,2025-09-14 10:40:00,2025-09-14 11:10:00,Line_9,5 & 10,15
Lot_64,2025-09-14 11:50:00,2025-09-14 12:20:00,Line_9,9 & 18,16
Lot_61,2025-09-14 13:10:00,2025-09-14 13:40:00,Line_9,4 & 15,26
Lot_60,2025-09-14 14:00:00,2025-09-14 14:30:00,Line_9,5 & 10,15
Lot_19,2025-09-14 15:10:00,2025-09-14 15:40:00,Line_9,10 & 28,10
Lot_58,2025-09-14 16:10:00,2025-09-14 16:40:00,Line_9,9 & 18,16
